Rk,Team,Arena
1,Boston Celtics,TD Garden
2,Phoenix Suns,Footprint Center
3,Utah Jazz,Delta Center
4,Memphis Grizzlies,FedEx Forum
5,Golden State Warriors,Chase Center
6,Miami Heat,Kayesa Center
7,Dallas Mavericks,American Airlines Center
8,Milwaukee Bucks,Fiserv Forum
9,Philadelphia 76ers,Wells Fargo Center
10,Minnesota Timberwolves,Target Center
11,Denver Nuggets,Ball Arena
12,Toronto Raptors,Scotiabank Arena
13,Cleveland Cavaliers,Rocket Mortgage Fieldhouse
14,Atlanta Hawks,State Farm Arena
15,Brooklyn Nets,Barclays Center
16,Charlotte Hornets,Spectrum Center
17,San Antonio Spurs,Frost Bank Center
18,Los Angeles Clippers,Crypto.com Arena
19,New York Knicks,Madison Square Garden (IV)
20,Chicago Bulls,United Center
21,New Orleans Pelicans,Smoothie King Center
22,Los Angeles Lakers,Crypto.com Arena
23,Washington Wizards,Capital One Arena
24,Indiana Pacers,Gainbridge Fieldhouse
25,Sacramento Kings,Golden 1 Center
26,Detroit Pistons,Little Caesars Arena
27,Orlando Magic,Amway Center
28,Oklahoma City Thunder,Paycom Center
29,Houston Rockets,Toyota Center
30,Portland Trail Blazers,Moda Center
